what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1323281426187
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323281426187
java.specification.version,sysinfo,,,"1.6",1323281426187
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1323281426187
java.version,sysinfo,,,"1.6.0_29",1323281426187
java.vm.info,sysinfo,,,"mixed mode, sharing",1323281426187
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1323281426187
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1323281426187
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1323281426187
java.vm.specification.version,sysinfo,,,"1.0",1323281426187
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1323281426187
java.vm.version,sysinfo,,,"20.4-b02",1323281426187
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1323281426597
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1323281426603
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1323281426638
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1323281429129
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1323281443537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323281451253
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323281453060
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1323281453070
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1323281454935
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1323281464794
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323281467348
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323281485789
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323281488569
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323281489333
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1323281489512
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1323281491285
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201109151620,"org.eclipse.cdt.debug.core",1323281491372
started,bundle,org.eclipse.cdt.debug.ui,7.1.1.201109151620,"org.eclipse.cdt.debug.ui",1323281491378
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1323281507627
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1323281508039
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323281508075
executed,command,net.sf.eclipsecs.ui,5.5.0.201111092104,"CheckstylePlugin.ApplyCheckstyleFixes",1323281508081
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323281520455
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323281523415
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323281525572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323281551247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323281553899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323281554360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323281559570
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323281559595
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1323281565012
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323281576056
started,bundle,org.eclipse.xtext.ui,2.0.1.v201108020636,"org.eclipse.xtext.ui",1323281576673
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1323281576692
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1323281576737
